,open,high,low,close,adjclose,volume
2020-05-21,175.3180027008057,175.70700321197512,173.95299863815308,174.47899990081788,167.4552755355835,2654870.0
2020-05-22,174.38699789047243,174.88699531555176,173.84399490356444,174.75199966430665,167.71689224243167,2132440.0
2020-05-26,177.30699462890624,177.43500366210935,175.91799736022952,176.1630023956299,169.06038398742677,3672890.0
2020-05-27,177.35299949645997,178.06999711990355,175.24499940872192,177.95999612808228,170.7779221534729,3464820.0
2020-05-28,178.47400312423704,179.38400411605835,177.43399581909176,177.7560019493103,170.5849020957947,3031390.0
2020-05-29,177.61200218200685,178.68899755477906,176.406995010376,178.34399690628055,171.1479886054993,4206580.0
2020-06-01,178.07600460052493,179.1749979019165,177.81700267791751,178.92899541854857,171.75583868026732,3636160.0
2020-06-02,179.37299623489378,180.07800436019897,178.61200780868532,179.91350412368774,172.69521799087525,2754310.0
2020-06-03,180.66899290084842,181.88000116348266,180.4129978179932,181.4100088119507,174.12020778656003,3172750.0
2020-06-04,180.91899757385252,181.73500022888186,180.03700447082522,180.96799659729004,173.6996799468994,3604620.0
2020-06-05,183.20200414657594,184.8790051460266,183.0710048675537,184.0135056495667,176.6015488624573,3710880.0
2020-06-08,184.32100172042846,185.7629957199097,184.14499626159667,185.66099567413332,178.17717609405517,2482690.0
2020-06-09,184.59600124359133,185.47000274658205,184.16699676513673,184.82400369644165,177.38022928237916,3356630.0
2020-06-10,185.12900371551515,185.76700105667118,183.82099924087527,184.3604961395264,176.94521293640136,3721270.0
2020-06-11,181.35700292587282,181.5959997177124,176.55899658203126,176.8069977760315,169.726797580719,4628870.0
2020-06-12,179.89400415420533,180.31300468444823,175.9489953994751,178.29899663925173,171.15132818222048,3925490.0
2020-06-15,175.2280044555664,179.43199338912967,174.62299337387086,178.88500719070439,172.19618883132938,3331720.0
2020-06-16,182.2470055580139,182.39000244140627,179.0420042037964,181.22350549697876,174.43787317276,3389980.0
2020-06-17,181.7020005226135,181.84000339508057,180.34199972152712,180.65900144577026,173.8961596488953,1815230.0
2020-06-18,180.08100271224978,181.01800346374512,179.82599697113037,180.7649965286255,173.99749774932863,2222510.0
2020-06-19,182.222992515564,182.42200117111204,179.40999975204468,180.01100244522095,173.27445459365845,2209580.0
2020-06-22,179.85300245285038,181.14499654769898,179.29400396347046,180.91050386428833,174.13795747756959,2459920.0
2020-06-23,182.01600551605225,182.51999969482424,181.267995262146,181.49249458312988,174.69832954406738,2161140.0
2020-06-24,180.54700469970706,180.91000480651854,177.42199535369872,178.27699613571167,171.61279935836794,2971550.0
2020-06-25,178.04600324630738,179.72499637603764,177.09999809265136,179.55700273513793,172.83961992263792,3326740.0
2020-06-26,179.10100193023683,179.26399831771855,176.34499979019168,176.64500780105593,170.0472966194153,3037500.0
2020-06-29,177.2039987564087,178.49200372695924,176.18099384307865,178.4690019607544,171.79545459747314,2720950.0
2020-06-30,178.2939965248108,180.85800428390505,178.1689931869507,180.0825002670288,173.34291286468505,3243170.0
2020-07-01,180.4159948348999,181.4020007133484,180.16299810409546,180.83999614715574,174.11243267059328,2422090.0
2020-07-02,182.30299577713015,182.95700216293338,181.11500301361087,181.50800600051878,174.75192079544067,2063900.0
2020-07-06,183.19000625610354,183.6319980621338,182.80399703979495,183.45900259017947,176.6245116233826,2415220.0
2020-07-07,182.78099908828736,183.75099811553957,181.9720051765442,182.19640293121338,175.41453037261965,1782850.0
2020-07-08,182.5539962768555,183.3170057296753,181.75200147628786,183.18199405670165,176.36196842193604,2144500.0
2020-07-09,183.5539938926697,183.6799951553345,180.93400535583496,182.53800191879273,175.74306783676147,1880330.0
2020-07-10,182.44600715637208,183.94000406265258,181.76599941253664,183.7499988555908,176.9037769317627,1557210.0
2020-07-13,184.71400508880615,185.851002407074,182.28600473403932,182.62900314331057,175.8288688659668,2566890.0
2020-07-14,182.0259948730469,184.5050011634827,181.4629967689514,184.2785059928894,177.4109278678894,3221800.0
2020-07-15,185.65700263977055,185.98099994659427,184.3610011100769,185.4539999961853,178.53687353134157,2102410.0
2020-07-16,184.6239922523499,185.24600229263305,184.31899995803835,185.00100488662721,178.10157861709598,1394690.0
2020-07-17,185.47999639511113,185.78100118637084,184.55700635910037,185.41099576950074,178.49608488082887,1571860.0
