,SMA_30,SMA_100,SMA_200,EMA_50,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,RSI_14,HLC3,OHLC4,LR_14,STOCHk_14_3_3,STOCHd_14_3_3
2020-06-10,77.6334921391805,74.67176072144508,72.82601537299156,76.19927291745368,2.0789726026547015,0.17168226405153564,1.9072903386031659,74.90344402042673,78.95331291437148,83.00318180831623,10.25889540148117,0.9680013284741916,72.07442766376579,82.59933393796285,82.46125108003616,81.77212767244701,95.99906682013949,94.11785721771248
2020-06-11,78.02941723505656,74.72371572041511,72.91711663389205,76.50942890944955,2.2207009368779183,0.25072847861980185,1.9699724582581164,74.90787307294374,79.34437535762785,83.78087764231196,11.1829030468449,1.0368954020565453,75.34006892177209,83.97524954477944,83.80268709659575,82.65097891398835,95.25635548088512,95.00616568363667
2020-06-12,78.18590055624644,74.72566569590568,72.98230664038658,76.63211795170342,1.9498332839547317,-0.016111339442707928,1.9659446233974396,75.55341457324933,79.56545026302337,83.5774859527974,10.084868938744787,0.5090414479717579,53.33217739760623,80.69999918937681,81.21224994659423,82.27223973882066,73.87186159887513,88.37576129996658
2020-06-15,78.38033390522004,74.73770071053504,73.05256914520264,76.7855448115656,1.7877083758799444,-0.14258899801399627,1.9302973738939406,76.08014921346266,79.78612540245055,83.49210159143844,9.2897760614255,0.6023181797540963,56.13073934266641,80.58950006167093,80.82774949073792,82.09418030927473,58.15705944800644,75.7617588425889
2020-06-16,78.65779227256775,74.75458073258399,73.12638164758683,76.95926862754595,1.6938416964509457,-0.18916454195439614,1.8830062384053419,76.62500116073983,80.02815044403076,83.43129972732169,8.50488050619385,0.6744489553930719,58.13214611439735,80.55000020662943,80.20212491750718,82.00528442948725,45.79488415439253,59.27460173375803
2020-06-17,78.95485061645508,74.78422325205803,73.20307789397239,77.18458169038593,1.7197969257285877,-0.13056745014140336,1.850364375869991,76.79435820493126,80.26081294775008,83.72726769056891,8.637975658371397,0.8525127202768243,62.2487282591084,82.55825012524922,82.6581869840622,82.23304362999218,57.076548056159744,53.67616388618624
2020-06-18,79.22160056749979,74.81644323277473,73.27958539080619,77.39965685486003,1.7176812752292392,-0.10614648051260156,1.8238277557418408,77.07560566984868,80.5032877445221,83.93096981919551,8.515632518143091,0.8159147483303222,62.09088798346552,82.86349900563557,82.92449856996535,82.34862765092119,64.29868778480737,55.723373331786554
2020-06-19,79.47730051040648,74.86791320633888,73.3599103872776,77.61731727685823,1.7188648920077014,-0.08397029098731146,1.8028351829950129,77.1503895277567,80.68712513923644,84.22386075071618,8.766542630876067,0.8199097593318528,62.887381193824005,82.77633260091146,82.71162496805191,82.52935561001959,69.16692004194425,63.51405196097047
2020-06-22,79.67605870405832,74.90104319119453,73.43241537475586,77.80606949121898,1.6587625176739493,-0.11525813225685089,1.7740206499308002,77.47996173135948,80.89910009145737,84.31823845155526,8.452846462401965,0.7239451128201806,60.36233873313607,82.81466552416482,83.06624952554701,82.51401914439366,66.51703001540906,66.66087928072024
2020-06-23,79.8848170296351,74.94326067328453,73.50567661881446,78.03401768475696,1.6875596348311177,-0.06916881207974601,1.7567284469108637,77.73656919404779,81.15753759860992,84.57850600317205,8.430439133039261,0.8597242851680864,63.92981674867486,83.20524983406067,83.00068664550781,82.77338804894744,70.86412164633207,68.8493572345618
