index,close,STOCH_signal,Position,Entry/Exit Position,Portfolio Holdings,Portfolio Cash,Portfolio Total,Portfolio Daily Returns,Portfolio Cumulative Returns,Base Daily Returns,Base Cumulative Returns,Market Daily Returns,Market Cumulative Returns
2022-01-26,121.51849489212034,0,350,-350.0,42531.47321224212,102832.77442455292,145364.24763679504,0.003098707869955586,-0.030905015754700393,0.005307046266251669,-0.048987325301001805,-0.0014966358477518371,-0.030431517576213873
2022-01-27,120.62450332641602,0,350,0.0,42218.576164245605,102832.77442455292,145051.35058879852,-0.00215250347374496,-0.03299099607467726,-0.007356835405984752,-0.05598376901776769,-0.00538408875771057,-0.03565176034226225
2022-01-28,125.51874999999998,0,350,0.0,43931.56249999999,102832.77442455292,146764.33692455292,0.011809516621534177,-0.02157108716964795,0.040574232752195405,-0.017681034740044344,0.024347646888076113,-0.012172149925937847
2022-01-31,128.42050085067746,0,350,0.0,44947.17529773711,102832.77442455292,147779.94972229004,0.006920024435222327,-0.014800335184733893,0.02311806682808326,0.005028280745329017,0.018885951732779516,0.006483919170856334
2022-02-01,128.7334997177124,0,350,0.0,45056.72490119933,102832.77442455292,147889.49932575226,0.0007413022109432621,-0.014070004494985744,0.002437296731920391,0.007477832889477121,0.00686300355780145,0.013391421888995891
2022-02-02,129.57100429534913,0,350,0.0,45349.85150337219,102832.77442455292,148182.6259279251,0.0019820650114392713,-0.012115827147166747,0.0065057236808852,0.014032205284873145,0.00942251544733641,0.022940118215943217
2022-02-03,126.08500471115111,0,350,0.0,44129.75164890289,102832.77442455292,146962.5260734558,-0.008233757816268894,-0.020249826176962138,-0.026904164270054487,-0.01324948374123669,-0.024391082077444004,-0.0020104981677721012
2022-02-04,127.02000427246092,0,350,0.0,44457.00149536132,102832.77442455292,147289.77591991425,0.0022267570870064812,-0.018068160533905808,0.007415628555130782,-0.005932108436078165,0.0051569298644233985,0.0031360636986075274
2022-02-07,126.66649513244629,0,350,0.0,44333.2732963562,102832.77442455292,147166.04772090912,-0.0008400325021364896,-0.018893015193940044,-0.0027830981587463333,-0.008698696954758556,-0.0037017126347429485,-0.0005772577427519687
2022-02-08,128.11249990463256,0,350,0.0,44839.37496662139,102832.77442455292,147672.14939117432,0.0034389839103716735,-0.01551900405883877,0.01141584260837325,0.0026178426982812475,0.008401207191663262,0.007819099787011341
2022-02-09,130.75199851989746,0,350,0.0,45763.19948196411,102832.77442455292,148595.97390651703,0.0062559156831634155,-0.009360173956554085,0.020602974863731083,0.02327475290932224,0.014517207887505545,0.022449819171618035
2022-02-10,127.53050270080568,0,350,0.0,44635.67594528199,102832.77442455292,147468.4503698349,-0.007587847147133786,-0.016876997534434945,-0.024638214754335364,-0.0019369102055470933,-0.01811572566845976,0.003927398737738619
2022-02-11,123.98349952697754,0,350,0.0,43394.22483444214,102832.77442455292,146226.99925899506,-0.008418418364920854,-0.025153338273367187,-0.027812978845928593,-0.029696017808902297,-0.01896945434456343,-0.015116556217873223
