index,close,BB_signal,Position,Entry/Exit Position,Portfolio Holdings,Portfolio Cash,Portfolio Total,Portfolio Daily Returns,Portfolio Cumulative Returns,Base Daily Returns,Base Cumulative Returns
2022-05-12,209.22399864196777,0,200,0.0,41844.799728393555,101556.11595153809,143400.91567993164,-0.0002872325719341928,-0.043993895467122845,-0.0009836519889306894,-0.13751938377518014
2022-05-13,213.0750017166138,0,200,0.0,42615.00034332276,101556.11595153809,144171.11629486084,0.005370960229070354,-0.038859224700928285,0.018406125012628394,-0.1216444577319773
2022-05-16,212.44099578857424,0,200,0.0,42488.19915771485,101556.11595153809,144044.31510925293,-0.000879518650244604,-0.039704565938314396,-0.00297550591543716,-0.12425800984385282
2022-05-17,215.53500003814696,0,200,0.0,43107.000007629395,101556.11595153809,144663.11595916748,0.00429590608588204,-0.035579226938884045,0.014564063956148843,-0.11150364749013364
2022-05-18,209.010998916626,0,200,0.0,41802.199783325195,101556.11595153809,143358.31573486328,-0.00901957776626694,-0.04427789510091207,-0.030268871043525603,-0.13839742900689767
2022-05-19,208.2800022125244,0,200,0.0,41656.00044250488,101556.11595153809,143212.11639404297,-0.0010198176511134749,-0.04525255737304745,-0.0034974078296864386,-0.14141080458476696
2022-05-20,208.37799396514893,0,200,0.0,41675.598793029785,101556.11595153809,143231.71474456787,0.00013684841072381104,-0.04512190170288133,0.0004704808506990066,-0.14100685480970698
2022-05-23,211.13299503326417,0,200,0.0,42226.59900665283,101556.11595153809,143782.71495819092,0.0038469148722102275,-0.04144856694539434,0.013221170890895584,-0.12964995964303827
2022-05-24,210.2880002975464,0,200,0.0,42057.60005950928,101556.11595153809,143613.71601104736,-0.0011753773545916113,-0.042575226593018045,-0.004002191772937369,-0.13313326741413056
2022-05-25,211.81400146484378,0,200,0.0,42362.80029296876,101556.11595153809,143918.91624450684,0.0021251468309335664,-0.04054055836995496,0.007256720141606499,-0.12684265813568607
2022-05-26,214.92799968719487,0,200,0.0,42985.59993743897,101556.11595153809,144541.71588897705,0.00432743422978632,-0.0363885607401534,0.014701569305218598,-0.11400587495990744
2022-05-27,219.00499916076663,0,200,0.0,43800.99983215333,101556.11595153809,145357.1157836914,0.0056412772582599136,-0.030952561442057713,0.018969140733200884,-0.0971993277132327
2022-05-31,217.95399799346922,0,200,0.0,43590.79959869384,101556.11595153809,145146.91555023193,-0.0014460952415448203,-0.032353896331787535,-0.004798982540694885,-0.10153185237726448
2022-06-01,216.25800399780275,0,200,0.0,43251.60079956055,101556.11595153809,144807.71675109863,-0.002336934256215173,-0.03461522165934294,-0.007781430995898897,-0.10852322027000394
2022-06-02,219.4720043182373,0,200,0.0,43894.40086364746,101556.11595153809,145450.51681518555,0.004438990397119369,-0.030329887898763563,0.014861879149070667,-0.09527420010545407
2022-06-03,216.56400299072266,0,200,0.0,43312.80059814453,101556.11595153809,144868.91654968262,-0.003998612574487637,-0.03420722300211643,-0.01324998756241369,-0.1072618057014516
