index,close,RSI_signal,Position,Entry/Exit Position,Portfolio Holdings,Portfolio Cash,Portfolio Total,Portfolio Daily Returns,Portfolio Cumulative Returns,Base Daily Returns,Base Cumulative Returns,Market Daily Returns,Market Cumulative Returns
2020-04-28,72.23049783706665,0,350,0.0,25280.674242973328,132817.71577477455,158098.39001774788,-0.0019140468871108318,0.05398926678498639,-0.011850753571443051,0.1739165917944645,-0.005242380698498916,0.019029001604944584
2020-04-29,74.94349985122679,0,350,0.0,26230.224947929375,132817.71577477455,159047.94072270393,0.006006074475834122,0.060319604818026784,0.037560339405108056,0.2180092974155523,0.026583916282167053,0.046118783272710795
2020-04-30,74.71150240898132,0,350,0.0,26149.02584314346,132817.71577477455,158966.741617918,-0.0005105322610086116,0.0597782774527873,-0.0030956312783099182,0.21423878973720045,-0.009212446303987654,0.03648147015421799
2020-05-01,72.8917510986328,0,350,0.0,25512.112884521477,132817.71577477455,158329.82865929604,-0.004006579943324429,0.05553219106197416,-0.02435704344944034,0.1846635227775757,-0.028059034078492195,0.007398801261434995
2020-05-04,73.79300141334532,0,350,0.0,25827.550494670864,132817.71577477455,158645.26626944542,0.0019922816365081086,0.05763510846297004,0.012364229163503104,0.19931097405484044,0.004249827591976452,0.011680072483159831
2020-05-05,74.66649985313416,0,350,0.0,26133.274948596954,132817.71577477455,158950.9907233715,0.001927094713351396,0.05967327148914392,0.011837144757075313,0.21350739166347665,0.009040556385797371,0.02082622322283134
2020-05-06,75.27899932861328,0,350,0.0,26347.64976501465,132817.71577477455,159165.3655397892,0.001348684996816285,0.06110243693192863,0.008203136301874192,0.2234619582006241,-0.006979410390386298,0.013701458073691164
2020-05-07,76.4677529335022,0,350,0.0,26763.71352672577,132817.71577477455,159581.42930150032,0.0026140345313196978,0.06387619534333622,0.01579130455360711,0.24278201859232262,0.011504630788313985,0.025363719078404623
2020-05-08,77.3559986591339,0,350,0.0,27074.599530696865,132817.71577477455,159892.31530547142,0.00194813397355742,0.06594876870314348,0.01161595171240526,0.2572181145093366,0.016871538638701944,0.042663182683559064
2020-05-11,77.59900250434875,0,350,0.0,27159.65087652206,132817.71577477455,159977.36665129662,0.0005319289151746176,0.06651577767531136,0.003141370409884159,0.26116750229302665,0.00013307822091168653,0.04280193844492075
2020-05-12,76.28700184822083,0,350,0.0,26700.45064687729,132817.71577477455,159518.16642165184,-0.002870407478613446,0.06345444281101287,-0.01690744228386687,0.2398443855377188,-0.020500317528877154,0.02142416758707122
2020-05-13,75.21650137901305,0,350,0.0,26325.775482654568,132817.71577477455,159143.49125742912,-0.0023487930724601647,0.06095660838286143,-0.014032540842771835,0.2224462185589795,-0.01746272460422804,0.003587318644395321
2020-05-14,76.13100008964538,0,350,0.0,26645.850031375885,132817.71577477455,159463.56580615044,0.002011232417941322,0.06309043870767006,0.012158219192145214,0.23730898763482866,0.01152482269503552,0.015153484550758156
